Channel Name
南通新闻综合
南通社教
江苏公共新闻
江苏城市
江苏综艺
江苏休闲体育
江苏影视
江苏教育电视台
南京新闻综合
南京教科
南京生活
南京影视
南京娱乐
南京少儿
南京十八
都市剧场
江苏公共新闻
江苏国际
江苏教育电视台
苏州生活资讯
金色学堂
都市剧场
动漫秀场
法治天地
中国天气
大湾区卫视
山东教育卫视
动漫秀场
无锡新闻综合
HikVision
CCTV1
CCTV2
CCTV3
CCTV4
CCTV5
CCTV6
CCTV7
CCTV8
CCTV9
CCTV10
CCTV11
CCTV12
CCTV13
CCTV14
CCTV15
CCTV16
CCTV17
第一财经
江苏卫视
优漫卡通
南京信息
南通3套
欢笑剧场
CGTN
广西卫视
天津卫视
浙江卫视
重庆卫视
辽宁卫视
旅游卫视
四川卫视
江西卫视
东南卫视
吉林卫视
河北卫视
东方卫视
北京卫视
湖南卫视
广东卫视
黑龙江卫视
深圳卫视
云南卫视
山东卫视
中国教育1台
贵州卫视
安徽卫视
湖北卫视
中国教育4台
河南卫视
三沙卫视
金鹰纪实
风云足球
高尔夫网球
世界地理
兵器科技
风云剧场
央视精品
怀旧剧场
风云音乐
央视台球
金鹰卡通
财富天下
乐游
游戏风云
山西卫视
青海卫视
中国教育2台
空中课堂
宁夏卫视
甘肃卫视
#EXTINF108直播室108
#EXTINF109直播室109
#EXTINF110直播室110
#EXTINF111直播室111
新疆卫视
内蒙古卫视
西藏卫视
女性时尚
快乐垂钓
先锋乒羽
茶频道
梨园
武术世界
文物宝库
导视
#EXTINF208直播室208
#EXTINF209直播室209
#EXTINF210直播室210
#EXTINF211直播室211
#EXTINF261精彩推荐
陕西卫视
#EXTINF421直播室101
#EXTINF422直播室102
#EXTINF423直播室103
#EXTINF424直播室104
#EXTINF425直播室105
#EXTINF426直播室106
#EXTINF427直播室107
#EXTINF429直播室201
#EXTINF430直播室202
#EXTINF431直播室203
#EXTINF432直播室204
#EXTINF433直播室205
#EXTINF434直播室206
#EXTINF435直播室207
生活时尚
乐游HD
#EXTINF-1  常州新闻综合
#EXTINF-1  常州公共
#EXTINF-1  常州生活
#EXTINF-1  常州都市
上海外语
上海教育台
CCTV5+
上视新闻频道
五星体育频道
东方影视
上海都市频道
东方财经
上海纪实
七彩戏剧
哈哈炫动
卡酷动画
#EXTINF -1HikVision
五星体育
CCTV1HD
南通社教
HD
#EXTINF
体育
南通
上海
掼蛋
DXYQ
南极
