name,id
Action,7573
Adventure,7574
Animation,11714
Collection,503398
Comedy,7525
Crime,7540
Documentary,11626
Drama,7526
Family,9846
Fantasy,9784
History,12765
Horror,9719
Kids,503397
Music,38701
Mystery,10207
Romance,9736
Sci-Fi & Fantasy,30256
Science Fiction,7527
Suspense,45093
Thriller,7541
TV Movie,40254
War,40053
War & Politics,44613
Western,44473
